id,avis
com.tencent.ig,Meilleurs jeux du monde je suis sur le jeu depuis 2018 je l'aime trop merci pubg ☆♡
com.tencent.ig,super jeux je m'amuse très bien même si au début cette un peut difficile a comprendre
com.tencent.ig,Ce jeu est formidable
com.tencent.ig,نيس
com.tencent.ig,"cela fait des années que j'y joue mais toujours le même problème: le retour en jeu est agréable les top 1 sont ""faciles"" après quelques jours de jeu les joueurs adverses sont beaucoup trop fort et le top 1 deviens impossible. je vais désinstaller"
com.tencent.ig,ce jeu est tout simplement réussi (◍•ᴗ•◍)❤(◍•ᴗ•◍)❤(◍•ᴗ•◍)❤
com.tencent.ig,ce jeu est nul comment pouvez-vous créé un jeu qui ne fonctionnera sur d'autre appareil c'est nul
com.tencent.ig,ce n'est pas mal du tout ce jeux vraiment c'est le meilleur parmis les meilleurs
com.tencent.ig,le meilleur
com.tencent.ig,ses cool 😎 👌 ya pas ďe pub ni rien
com.tencent.ig,كيف وجهك ياللي صممت والديه هابوب جي الفري فايرأحسن ب 30000ألف مرة
com.tencent.ig,Le meilleur jeu mobile
com.tencent.ig,Nice 👌
com.tencent.ig,bien mais ?
com.tencent.ig,très cool cette apk
com.tencent.ig,لا تريد الاشتغال
com.tencent.ig,"Graphiquement nul ! J'ai arrêté de suite, pour les reste du jeu je vous laisse découvrir mais loin loin derrière Call of !"
com.tencent.ig,j'adore vraiment
com.tencent.ig,trop top le jeu
com.tencent.ig,cool
com.tencent.ig,بيطون😁
com.tencent.ig,incroyable le jeu
com.tencent.ig,la seule raison pour laquelle je ne veux pas donner 5 étoiles c'est parce que j'aimerais svp que vous intégrez la fonctionnalité de glisser à tous les modes et aussi ça serait cool de mettre des modes solo de storytelling
com.tencent.ig,روعة هايلة نعم.؟.................... ينيتتيتيتميمسكككشؤزؤوؤتترتؤ
com.tencent.ig,meilleur
com.tencent.ig,"impossible to connect with facebook, nothing happens when i return to the game i have a revocked authorization message"
com.tencent.ig,meilleur jeu mobile
com.tencent.ig,Meilleurs jeux vraiment fantastique
com.tencent.ig,"pubgmobile c'est le meilleur jeu en ligne, j'y joue depuis 6ans maintenant trop d'évolution c'est vraiment le top des jeux grave ouais ✌️🫡"
com.tencent.ig,Little default but it's a cool game
com.tencent.ig,très bien
com.tencent.ig,bonjour dès fois quand je joue j'ai beaucoup de bug sur pubg mais j'arrive comme même à jouer réglé ce bug svp
com.tencent.ig,super jeu sa fait 6 ans que je joue a se jeux et sa me plais toujours autant
com.tencent.ig,je suis diamant 2
com.tencent.ig,Je kiffe trop ce jeu
com.tencent.ig,😍😍😍🇩🇿
com.tencent.ig,cool
com.tencent.ig,c'est juste incr
com.tencent.ig,la belle jeux de mond
com.tencent.ig,نطالب بفك الباند We demand the lifting of the ban
com.tencent.ig,merci baucou
com.tencent.ig,"est-ce que les serveurs fonctionnent encore ? est-ce qu'il y a encore des joueurs ? j'ai changé de serveur de Europe vers Moyen-Orient et c'est encore le même problème, un temps infini (>6 min) pour trouver une partie (quand il en trouve une ...)"
com.tencent.ig,أسوء لعبة في العالم من التالي
com.tencent.ig,c'est super
com.tencent.ig,Excellent
com.tencent.ig,je n'ai pas encore lancé l'application mais je pense qu'il est très intéressant.
com.tencent.ig,"PUBG, valeur sûre !"
com.tencent.ig,❤️❤️
com.tencent.ig,j’aime ce jeux
com.tencent.ig,depuis la mise à jour .. je l'appli crach dès que je suis sur le menu principal... je n'arrive plus à jouer.. je l'ai désinstallé et réinstaller c'est toujours le même problème
com.tencent.ig,cool++👍😁👍😁
com.tencent.ig,لعبة وايت حلوى بس في شي جعل فرفاير احسن ولي هو تسجيل الدخول
com.tencent.ig,Best game ever🤩🤩🤩
com.tencent.ig,Great game
com.tencent.ig,Best game
com.tencent.ig,"Trois ans que je joue, j'adore !!! D'autres cartes svp, Troie et Lagna"
com.tencent.ig,C'est le meilleur jeux que je n'ai jamais vu 🤩🔥🔥🔥
com.tencent.ig,teré bonne jeux
com.tencent.ig,cool
com.tencent.ig,"très mal sécurisé on se demande où va l'argent, n'est ce pas monsieur le patron la vie est belle ?"
com.tencent.ig,j'aime
com.tencent.ig,Sav pas terrible voir inexistant et trop de tricheurs de un de deux les mode DBZ les dinosaures franchement c'est du grand n'importe quoi c'est un jeux de stratégie de tire ou un mix de plusieurs jeux copie de call of duty et autres2 j'attends toujours mes objets payés que on m'a pas encore donner ainsi que remboursement de 3 royal passe prélevé sur mon compte mai pas obtenus dans le jeux moing 2 étoiles 3 mois j'attend après le sav qui bouge pas !!!
com.tencent.ig,C'est un jeux d'exemption si vous aimez les jeux d'arme
com.tencent.ig,très bon jeu mais ne pas approcher avantijjjh
com.tencent.ig,j'aime beaucoup ce jeux mais sa prend trop de temps pour télécharger
com.tencent.ig,mais de cloo dans ce jeux ils devient belle aussi comme le free fire 🙏🙏
com.tencent.ig,meilleur
com.tencent.ig,احسن لعبة
com.tencent.ig,le jeu il est très bien il a de très beaux graphismes et ne bug pas le conseille fortement ce jeu à ceux qui sont fans de fortnite car ce jeu y fait beaucoup référence
com.tencent.ig,le jeux est très bonne
com.tencent.ig,s'il vous plaît où est que que on met l'auto shoot ? et où est ce que on retrouve le camp d'entraînement
com.tencent.ig,depuis 5ans 💪🙏
com.tencent.ig,cool
com.tencent.ig,I love pubg mobile
com.tencent.ig,"Ce jeu est incroyable, j'adore trop 🤩🤩🤩"
com.tencent.ig,💪💪😍😍
com.tencent.ig,واواوا
com.tencent.ig,c'est le meilleur je mobile de tous les temps mais il et trop adictif
com.tencent.ig,super application
com.tencent.ig,Bravo pubg mobile Merci beaucoup ❤❤❤
com.tencent.ig,Excellent jeu d'actions pour Tous
com.tencent.ig,c'est Bien
com.tencent.ig,trop bien
com.tencent.ig,Nice
com.tencent.ig,c'est trop cool
com.tencent.ig,"Super, rien a dire"
com.tencent.ig,c'est un bon jeux de tir .très bien .
com.tencent.ig,افضل لعبت في التاريخ
com.tencent.ig,c'est vraiment beau ce jeu
com.tencent.ig,très Bon jeu
com.tencent.ig,Jeux Incroyable Pour moi PUBG C'est les G.O.A.T
com.tencent.ig,Meilleurs jeux de guerre sur ondroide je joue sur mon téléphone samsang s9 et ma tablette A smt510
com.tencent.ig,trop de bug
com.tencent.ig,"Bon jeu,image,graphisme,plusieurs touches possibles,juste une chose,cela fait 3 ans que je joue à PUBG Mobile et j’aimerais avoir la m416 glace,merci merci merci"
com.tencent.ig,le jeu est incroyable
com.tencent.ig,toujours bourré de hackers qui ont tous 13 ou 15 et même 20 de ratio et a chaque fois je les signale mais pubg reconnais toujours les hackers innocent car se sont des corrompu et il vont dire qu'il faut les signaler mais c'est se que moi et des millions de joueurs faisons déjà mais vous les reconnaissez innocent et il suffit de regarder sur YouTube ils le montre a tous. et le jeu fait surchauffer les téléphones et fait une taille de 30 giga c'est n'importe quoi. et séparé les mobile des tablette
com.tencent.ig,Merci pour le jeu
com.tencent.ig,meilleur jeux c très cool j’adore
com.tencent.ig,cet jeux est efficace j'aimerais jouer toujours
com.tencent.ig,le jeu est excellent et très très cool
com.tencent.ig,جيد
com.tencent.ig,sabiti
com.tencent.ig,On peut alors faire comment pour jouer à ce jeu ?
com.tencent.ig,génial
com.tencent.ig,جميل
com.tencent.ig,rien à dire nikel et toujours Col
com.tencent.ig,J'aimerais savoir quand est-ce que la version HD serait disponible sur les appareils Redmi note 13 s'il vous plait.
com.tencent.ig,"épique, avec une bonne dose d'adrenaline.... juste un peu dommage qu'on rencotre des difficulté dans l'achat d'UC et qu'on doive passer par des tiers pour s'en proccurer, franchement vous devez elaborer un tuto pour nous apprendre comment acheter des UC"
com.tencent.ig,mon pubg n'est marche pas bien
com.tencent.ig,عندي اكثر من 5 سنوات لعبة لا تكريم ولا هداية عمري لا شفت لعبة بخيلة وبتحب النقود مثل بوبجي عار عليكم
com.tencent.ig,impensable
com.tencent.ig,j'arrive pas à télécharger les données supplémentaires alors que j'ai encore plus 4 gigas d'espaces.
com.tencent.ig,J'aime beaucoup
com.tencent.ig,très bon jeu
com.tencent.ig,افضل لعب
com.tencent.ig,"je suis un FAN, je joue depuis 2 ans et sa continue de me fasciné. je vous le conseille vivement."
com.tencent.ig,nice
com.tencent.ig,good game
com.tencent.ig,très bon jeu de tir 🏹
com.tencent.ig,game play beaucoup trop lent pourtant la mémoire de mon téléphone est assez grande et j'ai une bonne mémoire RAM
com.tencent.ig,Le jeu dechire
com.tencent.ig,تلعب بوبجي
com.tencent.ig,top game
